"","order","plot_id","cluster","pp_id","poss_id","game_date","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","event_id","o_zone","poss_succ","poss_type","rush","zone_pass","rush_pass","corsi","shot","fenwick","high_danger","goal","recep_dum","d_zone"
"24","5","20180211canoar_2_1035_45","Diagonal","20180211canoar_2_1035",45,"2018-02-11","can","oar",2,"8:56",5,4,2,0,"can","Natalie Spooner","Incomplete Play",119,58,"Direct","","","",47,0,0,"Played",1,0,0,0,0,0,0,0,0,0
"25","5","20180211canoar_2_1035_45","Diagonal","20180211canoar_2_1035",45,"2018-02-11","can","oar",2,"8:56",5,4,2,0,"can","Meghan Agosta","Incomplete Play Reception",126,84,"Direct","","","",48.5,1,0,"Played",1,0,0,0,0,0,0,0,1,0
"26",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"10:05",5,4,4,0,"can","Lauriane Rougeau","Puck Recovery",94,5,"","","","",34,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"27",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"10:05",5,4,4,0,"can","Lauriane Rougeau","Play",87,9,"Direct","","","",35,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"28",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"10:05",5,4,4,0,"can","Meaghan Mikkelson","Play Reception",83,49,"Direct","","","",35.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"29",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"10:02",5,4,4,0,"can","Meaghan Mikkelson","Play",84,58,"Direct","","","",36,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"30",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"10:02",5,4,4,0,"can","Lauriane Rougeau","Play Reception",70,36,"Direct","","","",36.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"31",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:58",5,4,4,0,"can","Lauriane Rougeau","Play",66,68,"Direct","","","",37,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"32",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:58",5,4,4,0,"can","Emily Clark","Play Reception",84,9,"Direct","","","",37.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"33",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:55",5,4,4,0,"can","Emily Clark","Play",123,4,"Indirect","","","",38,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"34",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:55",5,4,4,0,"can","Emily Clark","Zone Entry",125,3,"Played","","","",39,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"35",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:55",5,4,4,0,"can","Sarah Nurse","Play Reception",146,0,"Indirect","","","",39.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"36",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:51",5,4,4,0,"can","Sarah Nurse","Play",192,24,"Direct","","","",40,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"37",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:51",5,4,4,0,"can","Lauriane Rougeau","Play Reception",170,45,"Direct","","","",40.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"38",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:49",5,4,4,0,"can","Lauriane Rougeau","Shot",180,58,"Wristshot","Missed","f","f",41,1,1,"Played",0,0,0,1,0,1,1,0,0,1
"39",NA,"20180211canoar_3_1119_34",NA,"20180211canoar_3_1119",34,"2018-02-11","can","oar",3,"9:45",5,4,4,0,"can","Meaghan Mikkelson","Puck Recovery",127,0,"","","","",42,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"40","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"16:01",4,5,3,0,"oar","Nadezhda Morozova","Puck Recovery",13,38,"","","","",40,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"41","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"16:01",4,5,3,0,"oar","Nadezhda Morozova","Play",13,38,"Indirect","","","",41,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"42","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"16:01",4,5,3,0,"oar","Yelena Dergachyova","Play Reception",8,37,"Indirect","","","",41.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"43","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"16:01",4,5,3,0,"oar","Yelena Dergachyova","Play",8,37,"Direct","","","",42,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"44","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"16:01",4,5,3,0,"oar","Nina Pirogova","Play Reception",5,50,"Direct","","","",42.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"45","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:58",4,5,3,0,"oar","Nina Pirogova","Play",4,41,"Indirect","","","",43,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"46","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:58",4,5,3,0,"oar","Anna Shokhina","Play Reception",8,74,"Indirect","","","",43.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"47","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:53",4,5,3,0,"oar","Anna Shokhina","Play",32,62,"Direct","","","",44,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"48","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:53",4,5,3,0,"oar","Angelina Goncharenko","Play Reception",67,2,"Direct","","","",44.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"49","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:48",4,5,3,0,"oar","Angelina Goncharenko","Play",112,21,"Direct","","","",45,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"50","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:48",4,5,3,0,"oar","Angelina Goncharenko","Zone Entry",125,52,"Played","","","",46,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"51","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:48",4,5,3,0,"oar","Alevtina Shtaryova","Play Reception",132,62,"Direct","","","",46.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"52","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:46",4,5,3,0,"oar","Alevtina Shtaryova","Incomplete Play",156,79,"Indirect","","","",47,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"53","7","20180211canoar_3_1716_40","C Shape","20180211canoar_3_1716",40,"2018-02-11","can","oar",3,"15:46",4,5,3,0,"oar","Anna Shokhina","Incomplete Play Reception",139,83,"Indirect","","","",47.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"54","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:14",4,5,1,0,"fin","Noora Raty","Puck Recovery",11,54,"","","","",24,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"55","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:14",4,5,1,0,"fin","Noora Raty","Play",11,54,"Indirect","","","",25,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"56","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:14",4,5,1,0,"fin","Jenni Hiirikoski","Play Reception",9,54,"Indirect","","","",25.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"57","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:10",4,5,1,0,"fin","Jenni Hiirikoski","Play",3,43,"Indirect","","","",26,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"58","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:10",4,5,1,0,"fin","Michelle Karvinen","Play Reception",5,46,"Indirect","","","",26.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"59","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:07",4,5,1,0,"fin","Michelle Karvinen","Play",34,73,"Direct","","","",27,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"60","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:07",4,5,1,0,"fin","Jenni Hiirikoski","Play Reception",64,25,"Direct","","","",27.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"61","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:04",4,5,1,0,"fin","Jenni Hiirikoski","Play",90,27,"Direct","","","",28,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"62","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:04",4,5,1,0,"fin","Riikka Sallinen","Play Reception",119,11,"Direct","","","",28.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"63","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:03",4,5,1,0,"fin","Riikka Sallinen","Play",123,16,"Direct","","","",29,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"64","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:03",4,5,1,0,"fin","Riikka Sallinen","Zone Entry",125,21,"Played","","","",30,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"65","8","20180213canfin_1_1423_24","C Shape","20180213canfin_1_1423",24,"2018-02-13","can","fin",1,"13:03",4,5,1,0,"fin","Rosa Lindstedt","Play Reception",128,32,"Direct","","","",30.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"66","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:28",4,5,4,0,"fin","Susanna Tapani","Puck Recovery",6,18,"","","","",52,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"67","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:23",4,5,4,0,"fin","Susanna Tapani","Play",32,73,"Indirect","","","",53,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"68","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:23",4,5,4,0,"fin","Ronja Savolainen","Play Reception",21,72,"Indirect","","","",53.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"69","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:17",4,5,4,0,"fin","Ronja Savolainen","Play",118,23,"Direct","","","",54,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"70","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:17",4,5,4,0,"fin","Ronja Savolainen","Zone Entry",126,11,"Played","","","",55,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"71","9","20180213canfin_2_017_52","C Shape","20180213canfin_2_017",52,"2018-02-13","can","fin",3,"18:17",4,5,4,0,"fin","Susanna Tapani","Play Reception",127,3,"Direct","","","",55.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"72",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:45",5,4,4,0,"can","Marie-Philip Poulin","Takeaway",71,4,"","","","",22,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"73",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:43",5,4,4,0,"can","Marie-Philip Poulin","Play",67,5,"Indirect","","","",23,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"74",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:43",5,4,4,0,"can","Rebecca Johnston","Play Reception",88,81,"Indirect","","","",23.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"75",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:40",5,4,4,0,"can","Rebecca Johnston","Play",108,79,"Direct","","","",24,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"76",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:40",5,4,4,0,"can","Rebecca Johnston","Zone Entry",126,61,"Played","","","",25,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"77",NA,"20180213canfin_3_1738_22",NA,"20180213canfin_3_1738",22,"2018-02-13","can","fin",3,"16:40",5,4,4,0,"can","Jennifer Wakefield","Play Reception",126,61,"Direct","","","",25.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"78","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:11",5,4,4,0,"can","Shannon Szabados","Puck Recovery",22,71,"","","","",33,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"79","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:11",5,4,4,0,"can","Shannon Szabados","Play",22,71,"Indirect","","","",34,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"80","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:11",5,4,4,0,"can","Meghan Agosta","Play Reception",107,9,"Indirect","","","",34.5,0,1,"Played",1,0,0,0,0,0,0,0,1,1
"81","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:07",5,4,4,0,"can","Meghan Agosta","Play",112,3,"Direct","","","",35,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"82","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:07",5,4,4,0,"can","Meghan Agosta","Zone Entry",124,11,"Played","","","",36,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"83","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:07",5,4,4,0,"can","Sarah Nurse","Play Reception",124,11,"Direct","","","",36.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"84","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:04",5,4,4,0,"can","Sarah Nurse","Play",176,4,"Indirect","","","",37,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"85","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:04",5,4,4,0,"can","Brianne Jenner","Play Reception",198,21,"Indirect","","","",37.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"86","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:03",5,4,4,0,"can","Brianne Jenner","Play",198,21,"Indirect","","","",38,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"87","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"16:03",5,4,4,0,"can","Jennifer Wakefield","Play Reception",198,36,"Indirect","","","",38.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"88","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:59",5,4,4,0,"can","Jennifer Wakefield","Play",194,53,"Direct","","","",39,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"89","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:59",5,4,4,0,"can","Brigette Lacquette","Play Reception",133,78,"Direct","","","",39.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"90","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:56",5,4,4,0,"can","Brigette Lacquette","Play",133,63,"Direct","","","",40,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"91","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:56",5,4,4,0,"can","Brianne Jenner","Play Reception",175,74,"Direct","","","",40.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"92","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:55",5,4,4,0,"can","Brianne Jenner","Play",175,74,"Direct","","","",41,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"93","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:55",5,4,4,0,"can","Sarah Nurse","Play Reception",169,46,"Direct","","","",41.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"94","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:54",5,4,4,0,"can","Sarah Nurse","Shot",169,46,"Snapshot","On Net","t","t",42,1,1,"Played",0,0,0,1,1,1,1,0,0,1
"95","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:53",5,4,4,0,"can","Jennifer Wakefield","Puck Recovery",184,43,"","","","",43,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"96","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:53",5,4,4,0,"can","Jennifer Wakefield","Shot",184,43,"Snapshot","On Net","f","f",44,1,1,"Played",0,0,0,1,1,1,1,0,0,1
"97","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:47",5,4,4,0,"can","Emily Clark","Puck Recovery",164,32,"","","","",46,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"98","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:45",5,4,4,0,"can","Emily Clark","Play",144,52,"Direct","","","",47,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"99","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:45",5,4,4,0,"can","Meaghan Mikkelson","Play Reception",131,64,"Direct","","","",47.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"100","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:43",5,4,4,0,"can","Meaghan Mikkelson","Play",134,60,"Direct","","","",48,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"101","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:43",5,4,4,0,"can","Jocelyne Larocque","Play Reception",135,14,"Direct","","","",48.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"102","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:42",5,4,4,0,"can","Jocelyne Larocque","Play",131,19,"Direct","","","",49,1,1,"Played",0,1,0,0,0,0,0,0,0,1
"103","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:42",5,4,4,0,"can","Emily Clark","Play Reception",164,3,"Direct","","","",49.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"104","11","20180213canfin_3_1738_33","C Shape","20180213canfin_3_1738",33,"2018-02-13","can","fin",3,"15:39",5,4,4,0,"can","Emily Clark","Shot",182,16,"Snapshot","On Net","t","f",50,1,1,"Played",0,0,0,1,1,1,0,0,0,1
"105","7","20180214usacan_3_741_51","Diagonal","20180214usacan_3_741",51,"2018-02-14","usa","can",3,"5:54",4,5,1,2,"can","Meghan Agosta","Puck Recovery",120,33,"","","","",51,0,1,"Played",1,0,0,0,0,0,0,0,0,0
"106","7","20180214usacan_3_741_51","Diagonal","20180214usacan_3_741",51,"2018-02-14","usa","can",3,"5:51",4,5,1,2,"can","Meghan Agosta","Play",108,36,"Indirect","","","",52,0,1,"Played",1,0,1,0,0,0,0,0,0,0
